Marc Guéhi, DEF
Idrissa Gueye, MID
Ilkay Gündogan, MID
Luca Gunter, GK
Gustavo Scarpa, MID
Malo Gusto, DEF
Josko Gvardiol, DEF
Erling Haaland, FWD
Jordan Hackett, DEF
Antwoine Hackford, FWD
Lewis Hall, DEF
Gustavo Hamer, MID
Micah Hamilton, MID
Oliver Hammond, MID
Owen Hampson, MID
Isak Hansen-Aaröen, MID
Luke Harris, MID
Ollie Harrison, MID
Taylor Harwood-Bellis, DEF
Daiki Hashioka, DEF
Kortney Hause, DEF
Kai Havertz, MID
Isaac Hayden, MID
Tom Heaton, GK
Ayden Heaven, DEF
Krisztián Hegyi, GK
Karl Hein, GK
Dean Henderson, GK
Jeff Hendrick, MID
Wayne Hennessey, GK
Rico Henry, DEF
Travis Hernes, MID
Yangel Herrera, MID
Owen Hesketh, MID
Aaron Hickey, DEF
James Hill, DEF
James Hillson, GK
Jack Hinchy, MID
Jack Hinshelwood, MID
Joe Hodge, MID
Ki-Jana Hoever, DEF
Rob Holding, DEF
Mason Holgate, DEF
Fletcher Holman, FWD
Thomas Holmes, DEF
Ethan Horvath, GK
Justin Hubner, DEF
Callum Hudson-Odoi, FWD
Will Hughes, MID
Joe Hugill, FWD
Hugo Bueno, DEF
Bashir Humphreys, DEF
Mackenzie Hunt, MID
James Huntley, MID
Omari Hutchinson, MID
Hwang Hee-Chan, FWD
Hwang Ui-Jo, FWD
Pierre-Emile Højbjerg, MID
Rasmus Højlund, FWD
Bradley Ibrahim, MID
Igor Julio, DEF
Danny Imray, DEF
Danny Ings, FWD
Tim Iroegbunam, MID
Andy Irving, MID
Alexander Isak, FWD
Harry Isted, GK
Ivan Cavaleiro, FWD
Alex Iwobi, FWD
Ben Jackson, DEF
Jacob Murphy, MID
Reece James, DEF
Jamie Miley, MID
Vitaly Janelt, MID
Pontus Jansson, DEF
Vítezslav Jaros, GK
Daniel Jebbison, FWD
Mathias Jensen, MID
Raúl Jiménez, FWD
João Cancelo, DEF
João Félix, FWD
João Gomes, MID
João Moutinho, MID
João Palhinha, MID
João Pedro, FWD
João Virgínia, GK
Joelinton, FWD
Kyle John, DEF
Joe Johnson, DEF
Sam Johnstone, GK
Curtis Jones, MID
Jonjo Shelvey, MID
Jorginho, MID
José Sá, GK
Marc Jurado, DEF
Issa Kaboré, DEF
Sasa Kalajdzic, FWD
Boubacar Kamara, MID
Willy Kambwala, DEF
Thomas Kaminski, GK
Harry Kane, FWD
N'Golo Kanté, MID
Michal Karbownik, DEF
Loris Karius, GK
Leigh Kavanagh, DEF
Hayao Kawabe, MID
Michael Keane, DEF
Neeskens Kebano, MID
Josh Keeley, GK
Thilo Kehrer, DEF
Naby Keïta, MID
Caoimhín Kelleher, GK
Lloyd Kelly, DEF
Omari Kellyman, MID
Kepa, GK
Milos Kerkez, DEF
Kaine Kesler-Hayden, DEF
Aaron Keto-Diyawa, DEF
Reda Khadra, MID
Gavin Kilkenny, MID
Maximilian Kilman, DEF
Kim Ji-Soo, DEF
Joshua King, MID
Max Kinsey, DEF
Jakub Kiwior, DEF
Justin Kluivert, FWD
Ben Knight, FWD
Jacob Knightbridge, GK
Anthony Knockaert, FWD
Luca Koleosho, FWD
Yunus Konak, MID
Ibrahima Konaté, DEF
Terence Kongolo, DEF
Ezri Konsa, DEF
Kalidou Koulibaly, DEF
Lewis Koumas, FWD
Cheikhou Kouyaté, MID
Mateo Kovacic, MID
Matej Kovár, GK
Kacper Kozlowski, MID
Emil Krafth, DEF
Tim Krul, GK
Mohammed Kudus, MID
Dejan Kulusevski, MID
Garang Kuol, FWD
Layvin Kurzawa, DEF
Levi Laing, DEF
Adam Lallana, MID
Tariq Lamptey, DEF
Will Lankshear, FWD
Manuel Lanzini, MID
Aymeric Laporte, DEF
Yasser Larouci, DEF
Richie Laryea, DEF
Jamaal Lascelles, DEF
Roméo Lavia, MID
Dexter Lembikisa, DEF
Clément Lenglet, DEF
Bernd Leno, GK
Marc Leonard, MID
Jefferson Lerma, MID
Marcel Lewis, MID
Lewis Miley, MID
Keane Lewis-Potter, FWD
Myles Lewis-Skelly, MID
Victor Lindelöf, DEF
Jesse Lingard, MID
Lisandro Martínez, DEF
Tino Livramento, DEF
Hugo Lloris, GK
Giovani Lo Celso, MID
Tom Lockyer, DEF
Ruben Loftus-Cheek, MID
Andy Lonergan, GK
Sean Longstaff, MID
Jamal Lowe, FWD
Lucas Moura, FWD
Lucas Paquetá, MID
Luizão, DEF
Romelu Lukaku, FWD
Jayden Luker, MID
Sasa Lukic, MID
Lyle Taylor, FWD
Ian Maatsen, DEF
Alexis Mac Allister, MID
Matt Macey, GK
James Maddison, MID
Noni Madueke, FWD
Paris Maghoma, MID
Harry Maguire, DEF
Mahmoud Dahoud, MID
Riyad Mahrez, FWD
Kobbie Mainoo, MID
Ainsley Maitland-Niles, MID
Tyrell Malacia, DEF
Orel Mangala, MID
Javier Manquillo, DEF
Benson Manuel, FWD
Marcelo Pitaluga, GK
Solly March, MID
Emiliano Marcondes, MID
Mario Lemina, MID
Finley Marjoram, DEF
Marquinhos, FWD
Filip Marschall, GK
Zach Marsh, FWD
Callum Marshall, FWD
Anthony Martial, FWD
Han-Noah Massengo, DEF
Arthur Masuaku, DEF
Mateo Mejia, FWD
Jean-Philippe Mateta, FWD
Matheus Cunha, FWD
Matheus França, MID
Matheus Nunes, MID
Roshaun Mathurin, FWD
Joël Matip, DEF
Alex Matos, FWD
Matthew Craig, MID
Remi Matthews, GK
Matty Longstaff, MID
Neal Maupay, FWD
Konstantinos Mavropanos, DEF
Adrian Mazilu, FWD
Kevin Mbabu, DEF
Loïc Mbe Soh, DEF
Bryan Mbeumo, MID
Sean McAllister, MID
James McArthur, MID
John McAtee, FWD
Oliver McBurnie, FWD
James McConnell, MID
Delano McCoy-Splatt, MID
Jamie McDonnell, MID
Callum McFarlane, FWD
Tom McGill, GK
John McGinn, MID
Callan McKenna, GK
Luke McNally, DEF
Dwight McNeil, FWD
Charlie McNeill, FWD
Scott McTominay, MID
Ben Mee, DEF
Hannibal Mejbri, MID
Édouard Mendy, GK
Teden Mengi, DEF
Chris Mepham, DEF
Max Merrick, GK
Jenson Metcalfe, MID
Alex Mighten, FWD
Luka Milivojevic, MID
Stanley Mills, MID
James Milner, MID
Yerry Mina, DEF
Tyrone Mings, DEF
Yankuba Minteh, FWD
Tyrick Mitchell, DEF
Kaoru Mitoma, FWD
Aleksandar Mitrovic, FWD
Jakub Moder, MID
Mohamed Elneny, MID
Mohamed Salah, FWD
Gonzalo Montiel, DEF
Kieffer Moore, FWD
Andrew Moran, MID
Álex Moreno, DEF
Carlton Morris, FWD
Tyler Morton, MID
Yerson Mosquera, DEF
Louie Moulden, GK
Mason Mount, MID
Pelly Ruddock Mpanzu, MID
Fabian Mrozek, GK
Divin Mubama, FWD
Mykhailo Mudryk, MID
Marqes Muir, DEF
Romaine Mundle, MID
Daniel Muñoz, DEF
Finley Munroe, DEF
Arijanet Muric, GK
Murillo, DEF
Harrison Murray-Campbell, DEF
Mateusz Musialowski, FWD
Admiral Muskwe, FWD
Vitalii Mykolenko, DEF
Marvelous Nakamba, MID
Amara Nallo, MID
Keylor Navas, GK
Iliman Ndiaye, FWD
Michael Ndiweni, FWD
Tanguy Ndombélé, MID
Kosta Nedeljkovic, DEF
Reiss Nelson, MID
Nélson Semedo, DEF
Neto, GK
Josh Neufville, FWD
Moussa Niakhaté, DEF
Eddie Nketiah, FWD
Christopher Nkunku, FWD
Noha Lemina, MID
Rhys Norrington-Davies, DEF
Will Norris, GK
Oliver Norwood, MID
Darwin Núñez, FWD
Nuno Tavares, DEF
Ethan Nwaneri, MID
Treymaurice Nyoni, MID
Christian Nørgaard, MID
Jake O'Brien, DEF
Tommi O'Reilly, MID
Dara O'Shea, DEF
Michael Obafemi, FWD
Wilson Odobert, FWD
Idris Odutayo, DEF
Odeluga Offiah, DEF
Chiedozie Ogbene, FWD
Angelo Ogbonna, DEF
Habeeb Ogunneye, DEF
Braian Ojeda, MID
Temple Ojinnaka, MID
Wesley Okoduwa, FWD
Ferdinand Okoh, MID
Arthur Okonkwo, GK
Ademola Ola-Adebomi, FWD
Michael Olakigbe, FWD
Michael Olise, MID
Robin Olsen, GK
Andrew Omobamidele, DEF
Amadou Onana, MID
Ryan Oné, MID
Tyler Onyango, MID
Fred Onyedinma, MID
Frank Onyeka, MID
Lewis Orford, MID
Divock Origi, FWD
Stefan Ortega, GK
Ben Osborn, MID
Gabriel Osho, DEF
Detlef Esapa Osong, FWD
William Osula, FWD
Jonny Otto, DEF
Dango Ouattara, FWD
Alex Oxlade-Chamberlain, MID
Maxi Oyedele, MID
